producttype,scenario_name,description
LMD-E 200/2,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-E 200/2,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-E 210/1,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-E 210/1,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-E 213/1,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-E 213/1,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-E 213 BWS,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-E 213 BWS,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-E 213 WL,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-E 213 WL,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-E 214/1,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-E 214/1,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-E 300/1,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-E 300/1,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-E 312,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-E 312,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-E 321/1,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-E 321/1,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-E 340/1,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-E 340/1,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-K 400,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-K 400,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-K 403,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-K 403,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-K 420,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-K 420,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-St 213,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-St 213,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-St 213 BWS,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-St 213 BWS,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-St 214,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-St 214,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-St 312,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-St 312,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-St 700 BWS,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-St 700 BWS,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-L 601,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-L 601,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-L 607,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-L 607,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-L 608,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-L 608,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LMD-TS 100,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LMD-TS 100,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LINE_80S_typ_2,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LINE_80S_typ_2,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LINE_100S_typ_2,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LINE_100S_typ_2,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
LINE_100S_typ_3,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
LINE_100S_typ_3,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
CLIP_K3,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
CLIP_K3,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
CLIP_SK,Recycling,"When the metal ceiling system reaches its end of life, 95% of the steel components are sent to an external recycling facility. The remaining 5%, consisting of non-recyclable components and process losses such as fleece inlay and surface coating, is directed to landfill. This is the conventional end-of-life scenario for Lindner LMD steel ceiling systems."
CLIP_SK,Reuse,"When the metal ceiling system reaches its end of life, it is manually dismantled by trained professionals and taken to a nearby facility for quality inspection. 80% of the product, including ceiling panels, is remounted in a new building, extending its useful life and avoiding the need for new production. The remaining 20%, primarily substructures that cannot be reused, is sent for recycling. This scenario offers the greatest reduction in environmental impact across the product lifecycle."
